,xc,yc,area,box_label,imagename
24,1755.2493743896484,825.598762512207,113.4086250490509,[214.7138    52.468384 223.78494   62.72914 ],Sample1
25,1541.4926323890686,828.2411441802979,220.34898138887002,[ 0.       51.54865  10.985265 68.93364 ],Sample1
26,961.7257080078124,1273.4669418334959,273.50500352354715,[184.50359 242.93388 202.94783 256.     ],Sample1
27,986.9292144775392,1228.926872253418,238.1134290941991,[211.9289  197.4901  225.92953 212.36365],Sample1
28,1391.087532043457,1118.267692565918,268.61368918186054,[104.28985   85.565674 117.885216 102.96971 ],Sample1
29,1403.3622703552246,1209.492446899414,537.2067645723,[113.193825 173.40376  133.53072  197.58113 ],Sample1
30,1391.7295837402344,1046.7488512992861,565.4858189779334,[101.16093   10.476619 122.29824   35.021084],Sample1
31,1587.3497219085693,1224.8990249633791,495.22629226936266,[ 41.48888  189.44955   61.210564 212.3485  ],Sample1
32,1592.7305068969727,1144.4045295715332,241.18471840198617,[ 49.501648 113.103096  63.959366 127.70596 ],Sample1
33,1554.960042476654,1052.356325149536,830.2770488212847,[ 5.646571 13.829742 32.273514 42.882908],Sample1
34,1553.4035341739655,1083.2621059417722,876.9760221366741,[ 3.1697183 44.88178   31.63735   73.64243  ],Sample1
35,908.0043716430664,1411.850814819336,288.63728709099814,[132.17534  123.687225 147.8334   140.0144  ],Sample1
36,962.1626663208008,1284.1505317687986,162.25953422684685,[185.94003    0.       202.3853     8.301064],Sample1
37,1126.087177276611,1508.9657363891602,351.71307247632654,[ 92.93882  220.35245  111.235535 237.57903 ],Sample1
38,1261.1660614013672,1335.8207988739016,564.7140469774604,[226.5772    43.589245 247.75493   68.05235 ],Sample1
39,1717.5084609985352,1355.4124412536619,492.02128624508623,[169.42857  66.13451 193.58835  84.69038],Sample1
40,1613.0384998321533,1429.5813064575195,2007.474482030666,[ 52.33511 130.16856 101.74189 168.99405],Sample1
41,1603.5784549713135,1427.4511337280273,1005.5850439828937,[ 52.831905 131.4624    82.325005 163.43987 ],Sample1
42,1968.1835403442385,1485.7380676269531,212.32730855979028,[169.55205 198.79477 182.81503 212.68137],Sample1
43,1867.968158721924,1350.9867248535154,533.0614747703074,[65.147125 59.71524  86.78919  82.25821 ],Sample1
44,729.3873519897461,1773.4211883544922,330.9543878394179,[208.553   229.05731 226.22171 245.78506],Sample1
